pincode,district,statename,latitude,longitude
504273,KUMURAM BHEEM ASIFABAD,TELANGANA,19.3638689,79.5376658
504299,KUMURAM BHEEM ASIFABAD,TELANGANA,19.4764899,79.583923
504296,KUMURAM BHEEM ASIFABAD,TELANGANA,19.3285752,79.4760132
504209,MANCHERIAL,TELANGANA,18.8730283,79.4118699
504272,MANCHERIAL,TELANGANA,19.182086,79.4816378
504297,KUMURAM BHEEM ASIFABAD,TELANGANA,19.1973141,79.2394761
504295,KUMURAM BHEEM ASIFABAD,TELANGANA,19.458073,79.400529
506371,HANUMAKONDA,TELANGANA,18.0814575,79.4986557
505415,JAGITIAL,TELANGANA,18.684847,79.110961
505304,RAJANNA SIRCILLA,TELANGANA,18.268181,78.622141
505532,JAGITIAL,TELANGANA,18.698599,79.074032
506003,HANUMAKONDA,TELANGANA,17.922479,79.5384425
506145,JANGOAN,TELANGANA,17.9319733,79.23069
506144,JANGOAN,TELANGANA,17.8877326,79.3885943
506221,JANGOAN,TELANGANA,17.76814,79.0459949
506301,JANGOAN,TELANGANA,17.8133662,79.3340276
506223,SIDDIPET,TELANGANA,17.874619,78.9639012
506143,HANUMAKONDA,TELANGANA,17.7922519,79.4935684
505467,SIDDIPET,TELANGANA,18.110847,79.12154
506175,JANGOAN,TELANGANA,17.932,79.1521
506367,SIDDIPET,TELANGANA,17.223,79.12
506355,SIDDIPET,TELANGANA,16.996,78.923
506201,JANGOAN,TELANGANA,16.442,78.854
506244,JANGOAN,TELANGANA,15.4025,76.596
506303,JANGOAN,TELANGANA,16.3287414,70.8964
506342,WARANGAL,TELANGANA,18.06741,79.67243
505301,RAJANNA SIRCILLA,TELANGANA,18.447239,78.768873
506169,JAYASHANKAR BHUPALAPALLY,TELANGANA,79,17
506168,JAYASHANKAR BHUPALAPALLY,TELANGANA,35.8968,61.25369
506356,JAYASHANKAR BHUPALAPALLY,TELANGANA,39.5698,58.6359
506165,MULUGU,TELANGANA,18.49165,80.33064
506345,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.3295766,79.9764416
506344,MULUGU,TELANGANA,18.2115978,80.0623935
506352,MULUGU,TELANGANA,18.11062,79.99191
506172,MULUGU,TELANGANA,18.19854,80.52428
506170,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.3690203,79.7398632
506350,WARANGAL,TELANGANA,18.0792252,79.8205965
506366,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.3614001,79.5950964
506343,MULUGU,TELANGANA,18.1662582,79.9346789
506391,WARANGAL,TELANGANA,18.2414939,79.6011127
506347,MULUGU,TELANGANA,18.3228717,80.2191091
502102,MEDAK,TELANGANA,18.074595,78.540842
506348,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.251473,79.8563815
506319,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.1340162,79.6803943
505425,JAGITIAL,TELANGANA,19.0373464,79.0338275
505450,JAGITIAL,TELANGANA,18.963234,78.599195
505452,JAGITIAL,TELANGANA,18.713857,78.896219
505403,RAJANNA SIRCILLA,TELANGANA,18.527283,78.734078
505453,JAGITIAL,TELANGANA,18.764121,78.783038
505325,JAGITIAL,TELANGANA,18.827968,78.650479
505404,RAJANNA SIRCILLA,TELANGANA,18.290594,78.672817
505331,JAGITIAL,TELANGANA,18.965772,78.652271
502313,MEDAK,TELANGANA,17.82648522,78.34469554
505454,JAGITIAL,TELANGANA,18.971145,79.060268
505455,JAGITIAL,TELANGANA,18.812997,78.876429
505529,JAGITIAL,TELANGANA,18.869963,78.938441
505305,RAJANNA SIRCILLA,TELANGANA,18.508535,78.598831
505460,JAGITIAL,TELANGANA,18.862387,78.784075
505307,RAJANNA SIRCILLA,TELANGANA,18.577866,78.800404
506102,MAHABUBABAD,TELANGANA,17.560186,79.961567
503305,KAMAREDDY,TELANGANA,18.3605683,77.6035566
505405,RAJANNA SIRCILLA,TELANGANA,18.368322,78.816626
505466,SIDDIPET,TELANGANA,18.032397,79.207488
505528,SIDDIPET,TELANGANA,18.245551,78.981185
505524,RAJANNA SIRCILLA,TELANGANA,18.534319,78.943516
505526,JAGITIAL,TELANGANA,18.796416,79.186556
502291,SANGAREDDY,TELANGANA,17.682775,77.93443
505445,KARIMNAGAR,TELANGANA,18.477263,78.990659
505501,JAGITIAL,TELANGANA,18.612649,78.930684
505402,RAJANNA SIRCILLA,TELANGANA,18.355288,78.933098
505527,KARIMNAGAR,TELANGANA,18.401664,79.145894
505469,KARIMNAGAR,TELANGANA,18.302695,79.237025
505002,KARIMNAGAR,TELANGANA,18.446451,79.163318
505481,KARIMNAGAR,TELANGANA,18.307625,79.186513
505531,KARIMNAGAR,TELANGANA,18.54364,79.112506
505473,SIDDIPET,TELANGANA,18.171449,79.093859
505530,KARIMNAGAR,TELANGANA,18.326721,79.088044
509130,WANAPARTHY,TELANGANA,16.3752813,77.7747811
509127,JOGULAMBA GADWAL,TELANGANA,16.0176398,77.6714337
502221,SANGAREDDY,TELANGANA,17.67545549,77.51495292
509219,MAHABUBNAGAR,TELANGANA,16.4989232,77.8770759
509133,JOGULAMBA GADWAL,TELANGANA,16.2423266,77.6194372
509129,JOGULAMBA GADWAL,TELANGANA,15.9841544,77.545901
509128,JOGULAMBA GADWAL,TELANGANA,15.99478,77.9217
509126,JOGULAMBA GADWAL,TELANGANA,15.9446413,77.8634103
509153,JOGULAMBA GADWAL,TELANGANA,15.9421059,78.0395629
509135,JOGULAMBA GADWAL,TELANGANA,15.9819516,77.743555
509382,MAHABUBNAGAR,TELANGANA,16.7009527,78.051753
509407,NARAYANPET,TELANGANA,16.7638286,77.5943745
509204,MAHABUBNAGAR,TELANGANA,16.5311546,77.9425569
509334,MAHABUBNAGAR,TELANGANA,16.8157485,77.9518893
509350,NARAYANPET,TELANGANA,17.0377518,77.7460707
509002,MAHABUBNAGAR,TELANGANA,16.7818434,77.9900402
509353,NARAYANPET,TELANGANA,16.5300555,77.5614652
509338,VIKARABAD,TELANGANA,17.072475,77.6469666
509371,MAHABUBNAGAR,TELANGANA,16.8113904,77.7981979
509339,NARAYANPET,TELANGANA,17.0118179,77.6754289
509352,NARAYANPET,TELANGANA,16.429419,77.2999227
509335,VIKARABAD,TELANGANA,16.9757222,77.8636982
509409,MAHABUBNAGAR,TELANGANA,16.5156343,77.7964731
509411,NARAYANPET,TELANGANA,16.8730023,77.6524975
509208,NARAYANPET,TELANGANA,16.4115146,77.5291927
509351,NARAYANPET,TELANGANA,16.6158834,77.7516911
509337,MAHABUBNAGAR,TELANGANA,16.9098736,77.8717078
509210,NARAYANPET,TELANGANA,16.6613566,77.4410769
509340,MAHABUBNAGAR,TELANGANA,16.839842,78.1519019
509336,VIKARABAD,TELANGANA,16.9570413,77.5002672
509311,NARAYANPET,TELANGANA,16.5905833,77.5372266
502115,MEDAK,TELANGANA,18.152495,78.351187
502255,MEDAK,TELANGANA,17.941635,78.485627
502113,MEDAK,TELANGANA,18.123866,78.25994
502336,MEDAK,TELANGANA,17.766566,78.468266
502109,MEDAK,TELANGANA,18.026888,78.217134
502247,MEDAK,TELANGANA,17.978759,78.486966
502335,MEDAK,TELANGANA,17.868644,78.45714
502248,MEDAK,TELANGANA,18.058804,78.386693
502303,MEDAK,TELANGANA,18.076462,78.026724
502117,MEDAK,TELANGANA,,
502302,MEDAK,TELANGANA,17.956967,77.999745
502334,SIDDIPET,TELANGANA,17.5256,78.344
502331,MEDAK,TELANGANA,18.061658,78.116385
502310,SIDDIPET,TELANGANA,18.231706,78.864603
502108,SIDDIPET,TELANGANA,18.223182,78.605979
502278,SIDDIPET,TELANGANA,,
502281,SIDDIPET,TELANGANA,17.803003,78.816496
502312,SIDDIPET,TELANGANA,17.842964,78.793908
502276,SIDDIPET,TELANGANA,18.0729,78.5214
502372,SIDDIPET,TELANGANA,18.01368,78.7157
502301,SIDDIPET,TELANGANA,17.911481,78.786903
502375,SIDDIPET,TELANGANA,18.106436,79.016698
502279,SIDDIPET,TELANGANA,17.758884,78.754003
502311,SIDDIPET,TELANGANA,17.82222,78.739671
502107,SIDDIPET,TELANGANA,18.209902,78.77944
508101,YADADRI BHUVANAGIRI,TELANGANA,17.5900333,79.1343433
508111,YADADRI BHUVANAGIRI,TELANGANA,17.3933,79.2024
508126,YADADRI BHUVANAGIRI,TELANGANA,17.4919366,78.8229966
508277,YADADRI BHUVANAGIRI,TELANGANA,17.4640693,79.2639886
508284,YADADRI BHUVANAGIRI,TELANGANA,17.3454,78.8241
508105,YADADRI BHUVANAGIRI,TELANGANA,17.6831,78.9260316
508113,YADADRI BHUVANAGIRI,TELANGANA,17.3644465,79.2234983
508285,YADADRI BHUVANAGIRI,TELANGANA,17.4085632,78.9272555
508112,YADADRI BHUVANAGIRI,TELANGANA,17.4625,79.07861
508286,YADADRI BHUVANAGIRI,TELANGANA,17.5518416,79.0808016
508115,YADADRI BHUVANAGIRI,TELANGANA,17.612905,78.871335
508255,NALGONDA,TELANGANA,16.9818776,79.0603695
508250,NALGONDA,TELANGANA,,
508114,NALGONDA,TELANGANA,17.1851,79.0567
508248,NALGONDA,TELANGANA,16.8134,78.6235
508257,NALGONDA,TELANGANA,16.7572143,79.0353752
508377,NALGONDA,TELANGANA,17.052396,79.2671739
508202,NALGONDA,TELANGANA,17.05662,79.268333
508243,NALGONDA,TELANGANA,16.76866,78.965435
508245,NALGONDA,TELANGANA,16.1245,78.2645
508244,NALGONDA,TELANGANA,17.0318331,79.1329173
508373,NALGONDA,TELANGANA,16.8261859,78.970196
508253,YADADRI BHUVANAGIRI,TELANGANA,17.1123616,78.8995633
508254,NALGONDA,TELANGANA,17.2257065,79.1581221
508266,NALGONDA,TELANGANA,16.633418,79.1750179
508002,NALGONDA,TELANGANA,,
508004,NALGONDA,TELANGANA,17.01265,79.15621
508256,NALGONDA,TELANGANA,16.900599,79.1529876
503217,NIZAMABAD,TELANGANA,18.8546383,78.3809383
503307,NIZAMABAD,TELANGANA,18.741399,78.3508841
503164,NIZAMABAD,TELANGANA,18.5454757,78.2419318
503110,KAMAREDDY,TELANGANA,18.1690283,78.2646533
503308,NIZAMABAD,TELANGANA,18.835245,78.510708
503218,NIZAMABAD,TELANGANA,18.886535,78.348665
503213,NIZAMABAD,TELANGANA,18.7896716,78.1768666
503225,NIZAMABAD,TELANGANA,18.7879189,78.4292248
503212,NIZAMABAD,TELANGANA,18.8770061,78.1479245
503311,NIZAMABAD,TELANGANA,18.7966216,78.3488116
503223,NIZAMABAD,TELANGANA,18.8459083,78.2552833
503187,KAMAREDDY,TELANGANA,18.4081368,77.9770209
503125,KAMAREDDY,TELANGANA,18.1894413,78.5477163
503306,KAMAREDDY,TELANGANA,18.3808216,77.6764033
503114,KAMAREDDY,TELANGANA,18.35771,78.1409383
503102,KAMAREDDY,TELANGANA,18.2746869,78.3558637
503112,KAMAREDDY,TELANGANA,18.3558646,78.329699
503124,KAMAREDDY,TELANGANA,18.1745669,78.1611606
503309,KAMAREDDY,TELANGANA,18.4592782,77.7291779
503108,KAMAREDDY,TELANGANA,18.1047959,78.1546553
503310,KAMAREDDY,TELANGANA,18.2892081,77.7583006
503144,KAMAREDDY,TELANGANA,18.4105263,78.3219411
503122,KAMAREDDY,TELANGANA,18.1274036,78.0083714
503120,KAMAREDDY,TELANGANA,18.3625628,78.1832829
503235,NIZAMABAD,TELANGANA,18.7458966,77.947735
503321,KAMAREDDY,TELANGANA,18.4491407,77.8153681
503185,NIZAMABAD,TELANGANA,18.6792758,77.8430506
503230,NIZAMABAD,TELANGANA,18.647018,78.133392
503202,NIZAMABAD,TELANGANA,18.6905946,77.974138
503246,NIZAMABAD,TELANGANA,18.8313814,78.089023
503207,NIZAMABAD,TELANGANA,18.5509461,77.7873264
503206,NIZAMABAD,TELANGANA,18.5981949,77.94845
503186,NIZAMABAD,TELANGANA,18.7362983,78.0571916
503201,NIZAMABAD,TELANGANA,18.5407388,77.9194592
505497,HANUMAKONDA,TELANGANA,18.0843233,79.3851933
505186,KARIMNAGAR,TELANGANA,18.5116556,79.2236202
505122,KARIMNAGAR,TELANGANA,18.2549883,79.4829016
505153,PEDDAPALLI,TELANGANA,,
505102,HANUMAKONDA,TELANGANA,18.1703266,79.5957816
505129,KARIMNAGAR,TELANGANA,18.3266963,79.4079001
505490,KARIMNAGAR,TELANGANA,18.2639233,79.3362383
505162,PEDDAPALLI,TELANGANA,18.5155432,79.449063
505470,KARIMNAGAR,TELANGANA,18.3320233,79.31671
505471,HANUMAKONDA,TELANGANA,18.0283883,79.282015
505505,KARIMNAGAR,TELANGANA,18.4698287,79.2947145
505152,PEDDAPALLI,TELANGANA,18.4240211,79.465738
505474,KARIMNAGAR,TELANGANA,18.2683149,79.2478833
505475,KARIMNAGAR,TELANGANA,,
505502,KARIMNAGAR,TELANGANA,18.405397,79.3701406
505187,PEDDAPALLI,TELANGANA,18.6941516,79.2989033
505212,PEDDAPALLI,TELANGANA,,
505525,PEDDAPALLI,TELANGANA,18.5838484,79.2742354
505209,PEDDAPALLI,TELANGANA,18.6852945,79.5193409
505503,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.5945144,79.9365172
505504,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.707735,79.9933683
505184,PEDDAPALLI,TELANGANA,18.6107796,79.7971371
505416,JAGITIAL,TELANGANA,18.8091783,79.2763133
505174,PEDDAPALLI,TELANGANA,18.6021684,79.3126584
505185,PEDDAPALLI,TELANGANA,18.5842957,79.3268816
502269,SANGAREDDY,TELANGANA,17.89207752,77.85495837
502273,SANGAREDDY,TELANGANA,17.78673864,78.07237241
502307,SANGAREDDY,TELANGANA,17.55909,78.223165
502296,SANGAREDDY,TELANGANA,17.67366734,78.16823001
502270,SANGAREDDY,TELANGANA,17.85398995,78.00483747
502345,SANGAREDDY,TELANGANA,17.752767,77.83788
502285,SANGAREDDY,TELANGANA,17.545337,78.09559
502316,MEDAK,TELANGANA,17.9016301,78.25329607
502294,SANGAREDDY,TELANGANA,17.6408258,78.08653118
502300,SANGAREDDY,TELANGANA,17.462748,78.237151
502306,SANGAREDDY,TELANGANA,17.55894,78.012082
502371,SANGAREDDY,TELANGANA,18.1422649,77.87655625
502319,SANGAREDDY,TELANGANA,17.631321,78.332616
502290,MEDAK,TELANGANA,17.9504,77.894
502293,SANGAREDDY,TELANGANA,17.69048741,78.05361386
502251,SANGAREDDY,TELANGANA,17.86881652,77.62424918
502210,SANGAREDDY,TELANGANA,17.6090126,77.7652589
502228,SANGAREDDY,TELANGANA,17.72670466,77.60086288
502249,SANGAREDDY,TELANGANA,17.81049528,77.5555516
502286,SANGAREDDY,TELANGANA,18.0559203,77.71832389
502318,SANGAREDDY,TELANGANA,17.65902756,77.58176793
502287,SANGAREDDY,TELANGANA,18.15740955,77.69436861
502246,SANGAREDDY,TELANGANA,17.738336,77.76716
508201,SURYAPET,TELANGANA,16.8445835,79.7721086
508204,SURYAPET,TELANGANA,16.9503703,79.868953
508374,NALGONDA,TELANGANA,17.0591321,79.5025987
508246,SURYAPET,TELANGANA,16.763314,79.9879867
508218,SURYAPET,TELANGANA,16.881137,79.6511793
508278,NALGONDA,TELANGANA,16.7899633,79.4558284
508208,NALGONDA,TELANGANA,16.8554144,79.4822595
508247,NALGONDA,TELANGANA,17.0615778,79.4224999
508217,NALGONDA,TELANGANA,16.9755995,79.5567644
508355,NALGONDA,TELANGANA,16.7957303,79.5864896
508238,SURYAPET,TELANGANA,16.903935,79.9982643
508214,SURYAPET,TELANGANA,17.1459563,79.6264253
508205,NALGONDA,TELANGANA,17.1826126,79.2845375
508206,SURYAPET,TELANGANA,16.995335,79.97275
508233,SURYAPET,TELANGANA,17.0111253,79.9030616
534455,ELURU,ANDHRA PRADESH,17.1352013,81.1065055
508234,SURYAPET,TELANGANA,17.0720328,79.9127737
508211,NALGONDA,TELANGANA,17.1814351,79.396902
508221,SURYAPET,TELANGANA,17.3120443,79.6706432
508279,SURYAPET,TELANGANA,17.4176681,79.5379584
508212,SURYAPET,TELANGANA,17.2260157,79.8761085
508376,SURYAPET,TELANGANA,17.2027935,79.5403629
508280,SURYAPET,TELANGANA,17.3910676,79.6648627
508223,SURYAPET,TELANGANA,17.4824537,79.5584307
531027,ANAKAPALLI,ANDHRA PRADESH,17.8564399,82.743801
531113,ANAKAPALLI,ANDHRA PRADESH,17.6794119,82.71682
531115,VISAKHAPATANAM,ANDHRA PRADESH,17.589566,82.49445
531024,ALLURI SITHARAMA RAJU,ANDHRA PRADESH,18.083242,82.6072165
531040,VISAKHAPATANAM,ANDHRA PRADESH,18.25704,82.6004866
531025,ANAKAPALLI,ANDHRA PRADESH,17.7754749,82.7964233
531105,ALLURI SITHARAMA RAJU,ANDHRA PRADESH,18.0218367,82.0900765
531026,ANAKAPALLI,ANDHRA PRADESH,17.8797767,82.8813869
531117,VISAKHAPATANAM,ANDHRA PRADESH,17.5847094,82.5909874
533005,KAKINADA,ANDHRA PRADESH,17.025828,82.212142
533344,KAKINADA,ANDHRA PRADESH,16.93,82.094
533468,KAKINADA,ANDHRA PRADESH,16.81,82.16
533006,KAKINADA,ANDHRA PRADESH,16.9384117,82.1298717
533462,KAKINADA,ANDHRA PRADESH,17.224,82.03
533463,KAKINADA,ANDHRA PRADESH,16.77928,82.27311
533016,KAKINADA,ANDHRA PRADESH,16.89,82.22
533260,KAKINADA,ANDHRA PRADESH,16.34585,82.265
533428,ALLURI SITHARAMA RAJU,ANDHRA PRADESH,17.426,82.001
533406,KAKINADA,ANDHRA PRADESH,17.49695,82.06635
533449,KAKINADA,ANDHRA PRADESH,17.17275,82.32455
533430,KAKINADA,ANDHRA PRADESH,17.2604,82.2709
533445,KAKINADA,ANDHRA PRADESH,17.13185,82.2617
533435,KAKINADA,ANDHRA PRADESH,17.22,82.11
533451,KAKINADA,ANDHRA PRADESH,17.186804,82.271624
533407,KAKINADA,ANDHRA PRADESH,17.46,82.46
533433,KAKINADA,ANDHRA PRADESH,17.09,82.199
533437,EAST GODAVARI,ANDHRA PRADESH,17.17275,82.32455
533450,KAKINADA,ANDHRA PRADESH,16.7258,81.9207
503123,KAMAREDDY,TELANGANA,18.24528,78.4570628
533436,ALLURI SITHARAMA RAJU,ANDHRA PRADESH,17.5347,82.2451
533291,EAST GODAVARI,ANDHRA PRADESH,16.9964,81.9969
533446,KAKINADA,ANDHRA PRADESH,17.2703,82.34445
533401,KAKINADA,ANDHRA PRADESH,17.35535,82.53558
533448,KAKINADA,ANDHRA PRADESH,17.11,82.35
533434,KAKINADA,ANDHRA PRADESH,17.04,82.22
533483,ALLURI SITHARAMA RAJU,ANDHRA PRADESH,17.56,82.05
533429,KAKINADA,ANDHRA PRADESH,17.66,80.89
535557,PARVATHIPURAM MANYAM,ANDHRA PRADESH,83.5297,18.6149
503219,NIZAMABAD,TELANGANA,18.9584883,78.3612433
535559,PARVATHIPURAM MANYAM,ANDHRA PRADESH,83.4133,18.5267
535128,VIZIANAGARAM,ANDHRA PRADESH,83.6018,18.37
535578,VIZIANAGARAM,ANDHRA PRADESH,83.3531,18.4836
535102,VIZIANAGARAM,ANDHRA PRADESH,83.4409,18.3558
535547,PARVATHIPURAM MANYAM,ANDHRA PRADESH,83.2637,18.6913
535593,PARVATHIPURAM MANYAM,ANDHRA PRADESH,83.1569,18.6444
535125,VIZIANAGARAM,ANDHRA PRADESH,83.6135,18.3299
535592,PARVATHIPURAM MANYAM,ANDHRA PRADESH,83.102,18.4546
535568,VIZIANAGARAM,ANDHRA PRADESH,83.4706,18.5439
535579,VIZIANAGARAM,ANDHRA PRADESH,83.3006,18.4263
535591,PARVATHIPURAM MANYAM,ANDHRA PRADESH,83.176,18.526
535546,PARVATHIPURAM MANYAM,ANDHRA PRADESH,83.4397,18.664
532148,SRIKAKULAM,ANDHRA PRADESH,83.1421,18.0574
535124,VIZIANAGARAM,ANDHRA PRADESH,83.4758,18.4573
535463,PARVATHIPURAM MANYAM,ANDHRA PRADESH,83.521,18.6931
535523,VIZIANAGARAM,ANDHRA PRADESH,83.6471,19.1268
535521,PARVATHIPURAM MANYAM,ANDHRA PRADESH,83.5542,18.8661
503302,KAMAREDDY,TELANGANA,18.25725,77.9544366
535524,PARVATHIPURAM MANYAM,ANDHRA PRADESH,83.5468,18.8692
535534,PARVATHIPURAM MANYAM,ANDHRA PRADESH,83.7984,18.8471
532462,PARVATHIPURAM MANYAM,ANDHRA PRADESH,83.6795,18.6395
532440,PARVATHIPURAM MANYAM,ANDHRA PRADESH,83.7233,18.6217
535502,PARVATHIPURAM MANYAM,ANDHRA PRADESH,83.4849,18.8368
535527,PARVATHIPURAM MANYAM,ANDHRA PRADESH,83.3709,18.7239
532443,PARVATHIPURAM MANYAM,ANDHRA PRADESH,83.8106,18.6629
532461,SRIKAKULAM,ANDHRA PRADESH,83.6011,18.6475
532460,PARVATHIPURAM MANYAM,ANDHRA PRADESH,83.5866,18.7138
533288,EAST GODAVARI,ANDHRA PRADESH,17.3271,81.7514
533297,EAST GODAVARI,ANDHRA PRADESH,17.8093,82.2719
533284,ALLURI SITHARAMA RAJU,ANDHRA PRADESH,17.3943,81.889
533286,EAST GODAVARI,ANDHRA PRADESH,17.2562,81.901
533353,EAST GODAVARI,ANDHRA PRADESH,,
533296,EAST GODAVARI,ANDHRA PRADESH,17.0176,81.9261
533124,EAST GODAVARI,ANDHRA PRADESH,16.9521,81.8252
533126,KONASEEMA,ANDHRA PRADESH,16.8542,81.832
533102,EAST GODAVARI,ANDHRA PRADESH,17.0741,81.8177
533289,EAST GODAVARI,ANDHRA PRADESH,17.1596,81.8853
533285,ALLURI SITHARAMA RAJU,ANDHRA PRADESH,17.15942,81.7405
533290,EAST GODAVARI,ANDHRA PRADESH,17.2097,81.79496
533295,ALLURI SITHARAMA RAJU,ANDHRA PRADESH,17.5554,81.6665
533294,EAST GODAVARI,ANDHRA PRADESH,16.9924,81.9562
533107,EAST GODAVARI,ANDHRA PRADESH,17.0064,81.8293
533287,EAST GODAVARI,ANDHRA PRADESH,17.6701,80.9111
533293,EAST GODAVARI,ANDHRA PRADESH,17.0977,81.7691
533350,ALLURI SITHARAMA RAJU,ANDHRA PRADESH,17.687274,81.309104
533347,ALLURI SITHARAMA RAJU,ANDHRA PRADESH,17.740595,81.511911
533349,ALLURI SITHARAMA RAJU,ANDHRA PRADESH,17.64571,81.38503
533342,EAST GODAVARI,ANDHRA PRADESH,16.9,81.97
533307,KONASEEMA,ANDHRA PRADESH,16.81,81.9
533343,EAST GODAVARI,ANDHRA PRADESH,16.95,81.97
533261,KONASEEMA,ANDHRA PRADESH,16.85,81.94
533263,KONASEEMA,ANDHRA PRADESH,16.7679,82.1136
533262,KONASEEMA,ANDHRA PRADESH,16.83,82.09
533341,KONASEEMA,ANDHRA PRADESH,16.9082,81.9016
533306,KONASEEMA,ANDHRA PRADESH,16.71,82.06
533264,EAST GODAVARI,ANDHRA PRADESH,17.6798,81.9569
533308,KONASEEMA,ANDHRA PRADESH,16.8446,81.9405
533345,EAST GODAVARI,ANDHRA PRADESH,16.912,82.0339
533256,KONASEEMA,ANDHRA PRADESH,16.7814,81.9903
502321,SANGAREDDY,TELANGANA,17.67033,77.78108384
533340,KONASEEMA,ANDHRA PRADESH,16.9038,81.9003
532445,SRIKAKULAM,ANDHRA PRADESH,18.5191333,83.7993066
532484,SRIKAKULAM,ANDHRA PRADESH,18.3523887,83.858599
532459,SRIKAKULAM,ANDHRA PRADESH,18.6707598,83.9502956
532432,SRIKAKULAM,ANDHRA PRADESH,18.5110245,84.0395624
532214,SRIKAKULAM,ANDHRA PRADESH,18.58377,83.903545
532455,PARVATHIPURAM MANYAM,ANDHRA PRADESH,18.77894,83.8815
532458,SRIKAKULAM,ANDHRA PRADESH,18.29625,83.89356
532421,SRIKAKULAM,ANDHRA PRADESH,18.4181441,84.0465213
532457,SRIKAKULAM,ANDHRA PRADESH,18.7838056,83.9392511
532190,SRIKAKULAM,ANDHRA PRADESH,18.497333,83.942833
532213,SRIKAKULAM,ANDHRA PRADESH,18.747022,84.0879722
532429,SRIKAKULAM,ANDHRA PRADESH,18.3748891,84.1046944
532430,SRIKAKULAM,ANDHRA PRADESH,18.285333,83.8958611
532426,SRIKAKULAM,ANDHRA PRADESH,18.5922511,84.052555
532474,SRIKAKULAM,ANDHRA PRADESH,18.4713333,84.0723055
532425,SRIKAKULAM,ANDHRA PRADESH,18.434138,83.9851111
532186,SRIKAKULAM,ANDHRA PRADESH,18.4603471,83.8456444
532187,SRIKAKULAM,ANDHRA PRADESH,18.287777,83.9003333
532401,SRIKAKULAM,ANDHRA PRADESH,18.287777,83.91255
532408,SRIKAKULAM,ANDHRA PRADESH,18.222666,83.8701944
532406,SRIKAKULAM,ANDHRA PRADESH,18.3415277,84.1184444
532410,SRIKAKULAM,ANDHRA PRADESH,18.2820555,83.82475
532405,SRIKAKULAM,ANDHRA PRADESH,18.2966111,83.8881141
532407,SRIKAKULAM,ANDHRA PRADESH,18.2050838,83.6896985
532403,SRIKAKULAM,ANDHRA PRADESH,18.2823013,83.7862942
532167,SRIKAKULAM,ANDHRA PRADESH,18.3472866,83.7552255
532168,SRIKAKULAM,ANDHRA PRADESH,18.3472785,83.7552257
532409,SRIKAKULAM,ANDHRA PRADESH,18.146119,83.6215279
532127,SRIKAKULAM,ANDHRA PRADESH,18.4495123,83.6215852
532123,SRIKAKULAM,ANDHRA PRADESH,18.4554166,83.751777
532404,SRIKAKULAM,ANDHRA PRADESH,18.2731111,84.0048333
532122,SRIKAKULAM,ANDHRA PRADESH,18.5263611,83.6318055
532264,SRIKAKULAM,ANDHRA PRADESH,18.900972,84.5533055
532220,SRIKAKULAM,ANDHRA PRADESH,18.7456388,84.3845833
532216,SRIKAKULAM,ANDHRA PRADESH,18.7709444,84.185388
532243,SRIKAKULAM,ANDHRA PRADESH,18.848666,84.5038611
532312,SRIKAKULAM,ANDHRA PRADESH,19.1005533,84.6138973
502032,SANGAREDDY,TELANGANA,17.467539,78.282811
